X1	X2	Y
262.71005856	-1.344082218	NO
58.80108322000001	6.256748223	NO
542.85773182	-3.388228941	YES
1.8982815299999984	-2.037017075	YES
-75.51171785000003	0.701749019	YES
88.63704602000001	6.581779659	NO
173.35343386	-8.590237336	YES
410.92289641	5.459871883	NO
0.3965802800000091	7.569230189	NO
199.73690811	7.491347184	NO
488.4009640700001	1.693023502	NO
-224.70851091	1.242077086	YES
83.67305874	-5.524537274	YES
380.14842891	0.671856016	NO
525.85806725	2.914294091	YES
-9.788238350000007	-6.378897745	YES
289.56829143	1.483836155	NO
236.76686583000003	5.5441547	NO
30.55766360999999	8.902142116	NO
-338.50766078000004	4.999768242	NO
-59.65876863999999	-1.489194242	NO
468.57069606	-5.678526771	YES
174.11000667	0.693422522	NO
63.07054807	7.814805334	NO
62.11885011999999	-5.604370088	YES
83.76153552000001	0.362199832	NO
-240.93290049	5.478983801	NO
-52.00380852999999	5.143601743	NO
291.54746072	-4.031778954	YES
-106.47082945999998	7.146699415	NO
15.739024950000015	-5.219420172	YES
-34.93055512999999	-2.983165534	YES
83.37718323	-2.133958698	NO
-290.00727577000004	3.507317283	YES
524.6927396599999	-5.657275596	YES
-152.56274974000004	5.063298159	NO
487.7843263	-6.691299399	YES
463.92192151	2.814386066	YES
-330.0282259	0.032952485	YES
648.9647711800001	-2.82368477	YES
578.1756047599999	-2.374285241	YES
309.98647593	7.188419573	NO
138.25253971	-1.450476727	NO
257.84447931	-0.699007942	NO
218.38531957	-0.466210456	NO
160.94999533	-4.974167661	NO
26.024993649999992	-1.197786911	NO
342.5228372	5.952331974	NO
336.30097176000004	8.617060298	NO
263.73102501	-2.027240133	NO
-239.54972506	1.126886499	YES
222.98535081	-5.349271678	YES
366.17981635	-5.13080651	NO
-182.1506303	3.59516599	YES
338.54046986000003	-10.28310548	YES
244.96541367000003	-3.919522458	NO
211.54848915	4.013974343	NO
82.85157738	-0.651426181	NO
3.5006007800000134	-9.752090527	YES
484.02251559	-3.429125888	YES
410.64372871	-8.03003687	YES
5.552872119999989	-1.81324181	YES
-122.44051976999997	2.383181862	YES
225.78796615	7.215926594	NO
-47.66164273000001	-6.618361061	YES
146.30071943000002	-5.235692759	YES
-97.14272228000004	-6.53131557	YES
666.6161419800001	-2.708330594	YES
294.82886549	5.802631366	NO
257.61554794999995	3.261035852	NO
599.2914908800001	-4.09067571	YES
-85.32714725	1.983060187	NO
122.93839604	-5.587485365	YES
344.0567070899999	5.647359416	NO
456.3432202400001	-4.666523271	YES
184.42349804	-1.793740471	NO
145.80867935	5.822074856	NO
-136.62279746000002	6.182840529	NO
274.27327995	-5.095061806	YES
249.74401918	-3.024942808	NO
60.77482667	0.181152621	NO
98.48302551999998	-10.29811521	YES
256.24243103000003	5.173116437	NO
206.79358599	4.903446495	NO
-341.38844925	2.327940257	YES
36.40798297999999	-1.147640924	NO
213.65923954	-6.620104549	YES
564.68490215	3.160300264	YES
166.91308386	8.14160398	NO
39.52652127	-7.917897231	YES
277.47788653	-3.572536036	NO
-70.60702988	0.523391442	NO
385.08214406	5.344420196	NO
381.02807628	4.824471323	NO
421.34422649	-6.929162646	YES
83.05006461999999	-4.247659174	NO
238.03178249	-1.349613661	NO
38.11405335999999	7.440864194	NO
468.76467418	-4.221859487	NO
397.10702756	-3.357399188	NO
337.93120323	8.028994819	NO
-24.67241493	1.049558577	NO
271.82853842	-5.590700503	YES
12.618216000000004	-2.184774202	NO
114.00457863	-9.642138344	YES
231.9706087	2.790115503	NO
201.05884453	-2.305194714	NO
163.06794613	5.403963758	NO
355.37733536	6.501680386	NO
91.3567766	-6.259269519	YES
-15.461699500000002	-6.502731685	YES
266.00776465	-1.803967709	NO
484.73076649	-9.108221549	YES
414.20141704	-1.490726489	NO
136.95883247	-5.309969832	NO
62.69782173	-7.555241468	YES
-272.79951051	2.569797751	YES
336.72900993	2.087678069	NO
427.13201612	-8.609536328	YES
437.7419983	0.446281083	YES
237.3423562	-4.789682581	NO
438.7934193699999	-4.420728726	NO
-160.26291837	6.177469199	NO
580.30079307	0.783053826	YES
-186.12891202	5.842233887	NO
228.93455134	-1.563105006	YES
137.46152354	-0.063389141	NO
-86.28341963000001	7.442158437	NO
114.80595802	-6.33038241	YES
36.51301461999999	-4.070805498	YES
104.91867271	-2.520872354	YES
-286.38125904000003	3.541589649	YES
109.78119373	-6.674774094	YES
286.32144412	-7.658764122	YES
373.76189561	-8.265289965	YES
79.63959763	-2.593783435	NO
145.79066387	-4.368218432	YES
241.23297839	6.853350674	NO
184.862001	-7.827184321	YES
-14.235933840000008	-6.907629297	YES
-73.80040173999998	1.076845217	NO
32.43221412	-3.02979718	YES
217.86793102	9.16429161	NO
-113.39476746	2.643196309	NO
647.10639284	-5.717881661	YES
539.19519609	-6.478717832	YES
621.22243131	-2.181372223	YES
3.711104710000008	-2.440095222	NO
-115.65934348	7.840984631	NO
325.59598852	5.612686507	NO
317.296373	-4.70920069	YES
-100.85232901999998	7.570730115	NO
-15.738881859999983	2.419068874	NO
141.48846772000002	-10.27851483	YES
347.14424742	-5.554612238	YES
209.27233471	-5.407874017	YES
111.07613052	-8.596903527	YES
-14.653585480000018	6.58655436	NO
-65.0347874	2.375828198	NO
525.58818267	-6.077040067	YES
12.839773560000005	-3.135310011	NO
176.00076805999998	5.126172755	NO
-227.4935110300001	6.586134303	NO
26.777933739999995	-9.401900031	YES
470.13138463	-7.635927675	YES
560.59399099	-4.625929405	YES
88.65536852000001	-10.07637031	YES
582.2214070800001	-6.70945022	YES
-207.24844248	2.398364273	NO
319.88868342	5.754181452	NO
330.16320383000004	-5.289812749	NO
241.87604039	-1.59897454	NO
195.25284398	7.229056409	NO
227.04602134	-7.238415231	YES
248.87915385	7.851631862	NO
116.43009221	-6.045101692	YES
-130.24543219999995	-6.901279375	YES
-88.43830369	7.566390162	NO
37.35774689999999	-2.782368004	YES
344.6853018400001	0.344085292	YES
88.96856482999999	-9.115841508	YES
37.49956277000002	-0.843518406	YES
380.69065941	5.52607191	NO
-23.789644720000005	4.434882613	NO
372.11697324	4.984947962	NO
88.41630452	6.493471692	NO
-101.10771779	4.203633619	NO
-229.34316534	3.900129248	YES
258.01870868000003	6.989967778	NO
59.63324083999999	7.969777839	NO
472.89936789	0.850044644	YES
-43.84292391	7.429433418	NO
-103.9360232	-6.725403281	YES
61.81571085000001	1.56166224	NO
321.89252876	-3.227124746	NO
397.5595931	-8.53800937	YES
185.14727137	-1.116589204	NO
1.293481319999998	-7.687268468	YES
219.57826965	0.127887615	NO
-282.51004484000003	2.913275505	YES
553.31817258	-5.046728119	YES
180.09439228000002	-3.568362271	NO
352.02487954000003	-0.67541435	NO
-355.43399278999993	1.616395808	YES
364.49521077	3.751333266	NO
270.95208984	-3.424205126	NO
-110.27648222	0.912782039	YES
277.4048283	-9.544559388	YES
52.697754240000016	-0.200551624	NO
525.58126954	3.884247486	YES
404.75217031	4.523982197	NO
215.47350773	1.61736872	NO
604.45723496	-4.70333247	YES
341.1702706	6.316738447	NO
133.52145951	8.177390828	NO
100.34610204999998	-2.348524324	NO
458.88862786	4.450499003	NO
360.17632332999995	-3.535653184	NO
591.75503125	3.162594163	YES
414.70956223	-8.310949308	YES
174.02955819	1.606829831	NO
-18.32741515	-7.508788847	YES
356.123602	-3.557418219	NO
289.46900581	-3.998024096	NO
85.95905875	7.601104795	NO
444.82113071	3.725739018	YES
177.10140333	-0.728543025	NO
43.68966010999999	-8.949047818	YES
385.87834394	-1.002742871	NO
22.29803692	2.088000825	NO
464.03498656	-6.330117628	YES
-220.78754554	-0.356040993	YES
252.90528449	6.730962438	NO
-138.0386792	-1.295564571	YES
30.188132	4.037331532	NO
-34.71245969999999	0.6911317	YES
32.30368095999999	-0.175165048	NO
238.05099595	-3.14719209	NO
102.12978773	-3.156069167	NO
202.29189817	-4.233517479	NO
486.38387004	-7.320396571	YES
101.54361998	-1.202991901	NO
52.54343105	-5.012805945	YES
615.1680480099999	3.554282677	YES
-100.81836866	-2.802594317	YES
-242.20401453	0.063107002	YES
221.30702689	4.283429373	NO
408.85994629	5.249864187	NO
637.87776259	-3.365556935	YES
516.3318296900001	-2.833073767	YES
130.34389043	-1.268802256	NO
400.0507965000001	0.922149507	YES
75.34329023000001	1.323046053	NO
458.56649171	4.836031841	NO
-190.51605485	6.647110054	NO
-213.1176916	5.370709578	YES
97.42231748	7.62109556	NO
-127.98096594000005	2.506470199	YES
554.04317105	-5.280140916	YES
456.73007475	-3.101690564	NO
272.48800436	8.533515619	NO
10.383437089999989	-7.4079681	YES
-0.8940512299999952	7.305769955	NO
268.63528178	-3.71090619	NO
489.91795556	-1.486092143	YES
336.43969629000003	-6.231477096	YES
559.0956048	-6.895586997	YES
98.66194271999998	-4.427911773	YES
332.66336583	6.153214093	NO
7.103020090000022	8.678618669	NO
456.32911356	-4.704806439	YES
-101.89154628999998	-2.711949387	YES
14.853375429999993	-1.357664434	NO
85.63342960000001	-0.064182316	NO
154.83163938	3.265428018	NO
410.30447679	1.614511284	YES
232.38085847	-1.486002417	NO
150.9508643	-7.194320629	YES
-238.22113703	1.038153695	YES
416.07470888	2.681913101	YES
-147.53497958000003	1.388539908	YES
488.73520581	-4.394045416	YES
310.89479131	-9.57924857	YES
332.22054653	5.268556579	NO
356.76354934999995	-1.397795512	NO
46.31909110999998	4.732022415	NO
152.93247162	0.74406533	NO
239.35489134	-6.242644301	YES
311.07776249	-3.646934423	YES
625.36001539	-5.009842379	YES
38.975638700000005	-3.347547589	YES
-312.02642565	4.587987021	YES
275.42654185	4.241280456	NO
-88.27090204999999	7.66374585	NO
510.5435678399999	0.389681828	YES
-177.13831082000002	0.042123756	YES
596.45807883	-8.965997769	YES
484.7962692	-1.780753498	YES
